[INFO] - [2016/06/17 22:55:06.310][IMCORE]UDP服务器正在端口 9999 上监听中... | (EchoServer^main:40)
[DEBUG] - [2016/06/17 22:55:12.372]Firing a MESSAGE_RECEIVED event for session 1 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/17 22:55:12.372]Firing a SESSION_OPENED event for session 1 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/17 22:55:12.372]Event SESSION_OPENED has been fired for session 1 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/17 22:55:12.372]【NOTE】>>>>>> 收到客户端的数据：Hi，我是客户端，我的时间戳1466175312325 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/17 22:55:12.372]Event MESSAGE_RECEIVED has been fired for session 1 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/17 22:55:12.372]Firing a MESSAGE_SENT event for session 1 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/17 22:55:12.372]Event MESSAGE_SENT has been fired for session 1 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/17 22:55:15.341]Firing a MESSAGE_RECEIVED event for session 1 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/17 22:55:15.341]【NOTE】>>>>>> 收到客户端的数据：Hi，我是客户端，我的时间戳1466175315341 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/17 22:55:15.341]Event MESSAGE_RECEIVED has been fired for session 1 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/17 22:55:15.341]Firing a MESSAGE_SENT event for session 1 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/17 22:55:15.341]Event MESSAGE_SENT has been fired for session 1 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/17 22:55:18.341]Firing a MESSAGE_RECEIVED event for session 1 | (IoFilterEvent^fire:68)
